# Blacklist IP Spesifik - IP dari domain blacklist.txt
# Last updated: 2025-12-05 22:34:11 UTC
# Total entries: 280
# Format: <ip> # <source>
#
# PRIORITAS: Level 2 - Blacklist IP Spesifik
# IP dengan marker 'Berasal dari IP domain' akan di-update otomatis
# IP manual (tanpa marker) tidak akan dihapus otomatis
#
0.0.0.0 # Berasal dari IP domain zzoomiinvitee.com (URLhaus Malware Domains)
104.16.230.132 # Berasal dari IP domain libraries-household-itunes-formed.trycloudflare.com (URLhaus Malware Domains)
104.16.231.132 # Berasal dari IP domain libraries-household-itunes-formed.trycloudflare.com (URLhaus Malware Domains)
104.21.1.133 # Berasal dari IP domain zovwowgyl.simzqlupasdali1976.workers.dev (URLhaus Malware Domains)
104.21.10.176 # Berasal dari IP domain blenderx.mouthrunnbeva1986.workers.dev (URLhaus Malware Domains)
104.21.11.145 # Berasal dari IP domain buayakota.com (URLhaus Malware Domains)
104.21.15.43 # Berasal dari IP domain tmpfiles.org (URLhaus Malware Domains)
104.21.16.116 # Berasal dari IP domain zovwowgyl.spoticualpe1970.workers.dev (URLhaus Malware Domains)
104.21.16.57 # Berasal dari IP domain galaxy88newarm7.lol (URLhaus Malware Domains)
104.21.24.181 # Berasal dari IP domain 8sapu4d.com (URLhaus Malware Domains)
104.21.27.161 # Berasal dari IP domain sapu4dw.lol (URLhaus Malware Domains)
104.21.31.162 # Berasal dari IP domain addons1.poupathockm2ist10012.workers.dev (URLhaus Malware Domains)
104.21.32.137 # Berasal dari IP domain api.loadcrate.icu (URLhaus Malware Domains)
104.21.34.107 # Berasal dari IP domain zalypagylivera.disppomeverp1976.workers.dev (URLhaus Malware Domains)
104.21.35.64 # Berasal dari IP domain zorokun.xyz (Manual Input)
104.21.36.132 # Berasal dari IP domain hst.sh (URLhaus Malware Domains)
104.21.36.134 # Berasal dari IP domain stukitiok-uzb.sbs (URLhaus Malware Domains)
104.21.44.123 # Berasal dari IP domain bodbhs.sbs (URLhaus Malware Domains)
104.21.45.9 # Berasal dari IP domain zalukina.avisregde1988.workers.dev (URLhaus Malware Domains)
104.21.5.116 # Berasal dari IP domain skybet138-a1.site (URLhaus Malware Domains)
104.21.50.95 # Berasal dari IP domain livelyfeather.ydqbg11598.workers.dev (URLhaus Malware Domains)
104.21.54.217 # Berasal dari IP domain lhdhdhd.sbs (URLhaus Malware Domains)
